lat,lon
59.689222,-94.806750
59.455833,5.465778
59.063333,9.694167
58.324583,11.796472
58.609528,16.261639
59.790833,18.872444
54.410417,18.634944
56.705417,10.164972
54.319083,-8.560889
52.670417,-8.840083
57.470833,-5.872528
55.981222,-4.805056
52.688306,-4.057583
50.044972,-5.069222
49.212889,-1.630889
47.722056,-3.131694
44.610833,-1.204583
42.942056,-9.233361
38.667056,-9.264194
41.112889,1.260000
43.604167,10.298722
38.102472,16.159556
45.357889,12.154139
43.636222,15.957500
39.838194,20.005306
37.799583,21.251667
37.797472,24.085389
40.762944,26.087444
44.811222,28.927472
46.360417,30.717472
45.914583,33.755778
45.035417,36.245806
37.020000,27.399556
36.539583,29.054167
36.073722,32.630000
31.305389,31.778306
31.477083,26.759167
31.990278,24.462417
31.963583,24.996528
31.561250,25.650000
31.367083,27.270833
30.822056,29.129139
31.517083,30.739167
26.198750,56.383333
25.701667,55.803722
25.301639,55.332889
24.962083,54.975806
25.437528,55.469556
25.874111,56.007972
26.322556,56.505389
55.712056,-1.921667
52.389972,1.729167
51.554083,3.874056
22.009083,89.072806
22.249861,91.829500
21.630000,91.990389
40.732889,120.986667
39.921250,124.235806
37.980833,125.685417
36.469556,126.543306
41.952083,129.987556
43.696278,135.229194
47.731667,139.219556
51.407500,140.862528
53.309111,143.079139
50.059167,142.177528
46.874972,141.958750
53.816639,137.075833
54.518333,136.814139
53.934111,136.685750
54.080417,137.428306
53.573306,138.309111
53.508722,140.914944
51.606667,157.840778
52.618222,158.487417
51.926694,158.212472
52.575000,143.225806
51.307083,-127.371667
50.878306,-125.539222
49.485806,-123.253000
47.249084,-123.024796
47.672900,-122.410000
47.458778,-124.343028
42.884028,-124.523833
34.611250,-120.638111
30.299417,-115.810833
26.082417,-112.310111
29.208389,-112.219361
25.681639,-109.399639
21.540944,-105.305583
15.775472,-93.579139
29.740861,-91.617806
39.148111,-76.281222
45.336694,-64.495639
50.211667,-61.904194
51.449972,-57.699194
59.545056,-65.421583
58.697139,-78.512667
55.631056,-77.187333
53.418417,-79.041250
58.573917,-94.262000
59.976028,-94.837028
59.417528,6.134194
59.594139,10.619167
57.190417,12.203333
58.828333,17.889111
59.822083,19.038361
55.310833,9.622472
55.187472,-7.804222
53.235806,-9.557556
51.814167,-9.834222
55.885861,-5.687556
54.331694,-3.425806
51.163361,-4.212556
49.360000,-1.120472
47.816639,-3.742944
44.752083,-1.125833
43.229583,-8.970056
38.562472,-8.751250
40.327917,0.370778
43.988750,10.146639
38.271222,15.777472
45.097889,12.298333
44.333722,15.276639
40.541250,19.390833
37.540417,21.565833
38.508750,23.381667
40.915806,25.371222
44.666667,28.777917
46.375417,30.272444
46.073750,33.290028
44.961278,35.260000
36.801667,28.059583
36.255833,30.136278
36.155000,33.582056
32.251667,23.221222
32.912917,21.809139
32.874556,22.331639
32.465861,23.155417
32.176250,23.594972
31.596583,25.169583
31.178722,27.675000
26.069583,56.457444
24.776639,54.690389
24.380417,54.480000
24.248750,54.112500
24.330417,54.182444
24.789972,67.082028
24.482917,67.250778
24.330417,67.382472
24.407056,67.352528
25.579139,66.437056
22.005861,89.861972
21.767917,91.928306
20.274972,92.937917
19.939583,93.731694
40.887861,121.473278
39.816250,124.517500
37.878306,125.991222
36.023722,126.770000
42.632500,130.699639
44.254583,135.775778
47.312056,138.966611
51.079167,140.679194
51.974139,143.119194
50.520000,142.045778
46.411639,141.851250
53.533750,137.356667
53.971250,137.551611
53.772917,137.593361
53.974111,138.592444
54.138750,139.934972
53.142889,141.413333
51.467444,156.499139
51.094972,156.699167
53.685000,142.974083
51.276667,143.502500
51.614194,-127.744167
50.845833,-126.562556
50.052639,-123.786806
47.614697,-122.229851
48.422444,-122.559694
48.126167,-123.221833
43.344917,-124.356417
35.051306,-120.632361
29.315111,-114.912556
25.847250,-112.139111
28.748556,-111.873472
25.653750,-109.155806
21.081333,-105.232889
15.153778,-92.871917
29.557500,-91.266222
39.499556,-75.933333
45.722306,-64.536111
50.147917,-66.568333
51.256611,-58.545806
50.601639,-57.179194
59.544083,-77.745778
57.352472,-76.666056
53.862694,-79.082167
57.038361,-92.184472
58.797194,-94.489000
59.402194,-94.746139
58.844139,5.562472
58.745861,11.229139
57.294139,16.509111
59.247056,18.591583
54.327000,19.534944
56.521250,10.466611
53.947917,-9.831722
52.223333,-10.377528
56.967917,-5.836778
54.781222,-4.628472
51.610417,-3.923306
50.787917,-1.136694
48.266333,-4.260417
45.871194,-1.106694
43.510000,-8.333833
38.411639,-8.823778
36.550806,-6.226278
44.289583,9.376611
38.682056,15.909944
44.691667,12.244556
44.425389,15.213306
41.031556,19.447056
36.799556,21.751667
38.657917,23.192500
40.955833,24.997917
44.557917,28.758278
46.176639,30.377917
46.097056,32.611583
39.472917,26.225000
36.729556,28.114139
36.288778,30.467389
31.104528,32.958278
32.618722,20.750028
31.549167,19.982056
32.318750,20.250833
32.775389,21.283278
32.705417,22.844139
32.067083,23.973333
31.562889,26.213306
25.530833,55.563722
26.050000,51.361250
30.424556,49.092472
25.808694,50.932611
24.742889,67.263306
23.946222,67.488333
23.846250,68.690750
22.979139,70.235389
22.824972,70.335417
21.880250,89.334083
21.610028,91.889556
20.058722,93.184139
19.519583,93.852500
19.201667,93.581250
40.866667,121.832056
39.638722,125.048333
37.486167,126.610750
35.722083,126.677528
42.639917,131.035389
43.753750,135.419194
46.954194,138.522083
50.235833,140.507528
39.907500,139.732917
53.806194,142.876722
47.319972,141.971194
44.708306,141.785361
54.208750,139.480028
53.566639,138.515833
53.775806,140.360833
53.386694,141.104194
45.163306,141.582889
44.056250,144.970028
50.977472,142.190833
53.126639,143.275806
53.545000,-128.988639
52.263778,-127.235056
51.150389,-126.684861
50.460000,-124.428139
48.258278,-122.473833
48.801167,-122.678500
47.837500,-122.822139
43.400528,-124.283944
35.923417,-121.469583
29.024083,-114.605556
25.476194,-112.019056
28.287417,-111.426056
25.575806,-108.866278
20.784333,-105.507750
14.466583,-92.136000
29.304889,-90.591250
30.335083,-86.192861
44.475639,-68.189278
48.812889,-67.637528
50.757944,-59.113389
51.447889,-56.375056
59.343361,-65.421361
58.595972,-78.390333
54.204944,-79.328722
52.631250,-78.761500
57.169972,-92.503000
58.666639,-94.204806
59.637472,5.445861
58.068722,7.126639
58.206639,11.492389
58.587944,16.793306
59.621667,18.744194
55.137500,9.504111
54.646194,-8.733417
52.571222,-9.296639
57.877500,-4.017500
55.855000,-5.210861
